Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AvroName.java",,,,6,16,15
File,"AvroNameTest.java",,,,1,16,18
File,"BlacklistFilter.java",,,,7,24,15
File,"BlacklistFilterTest.java",,,,2,52,21
File,"Cursor.java",,,,6,29,0
File,"DocumentFilter.java",,,,0,5,15
File,"ElasticConnection.java",,,,17,120,15
File,"ElasticConnectionBuilder.java",,,,9,51,15
File,"ElasticIndexMonitorThread.java",,,,16,87,6
File,"ElasticIndexMonitorThreadTest.java",,,,2,36,3
File,"ElasticJsonNaming.java",,,,2,6,0
File,"ElasticRepository.java",,,,27,176,16
File,"ElasticRepositoryTest.java",,,,5,71,15
File,"ElasticSourceConnector.java",,,,19,131,17
File,"ElasticSourceConnectorConfig.java",,,,6,370,15
File,"ElasticSourceConnectorTest.java",,,,3,42,21
File,"ElasticSourceTask.java",,,,29,222,21
File,"ElasticSourceTaskConfig.java",,,,1,13,19
File,"ElasticSourceTaskTest.java",,,,11,392,50
File,"FieldNameConverter.java",,,,0,5,15
File,"JsonCastFilter.java",,,,6,32,15
File,"JsonCastFilterTest.java",,,,1,40,18
File,"JsonElementFilter.java",,,,0,5,15
File,"JsonFilterVisitor.java",,,,11,43,15
File,"MockOffsetFactory.java",,,,8,40,15
File,"NopNameConverter.java",,,,3,9,15
File,"OffsetSerializer.java",,,,4,23,0
File,"PageResult.java",,,,4,22,15
File,"SchemaConverter.java",,,,27,121,15
File,"SchemaConverterTest.java",,,,8,237,34
File,"SslContextException.java",,,,1,6,0
File,"StructConverter.java",,,,19,106,16
File,"TestContainersContext.java",,,,10,97,16
File,"Version.java",,,,0,4,15
File,"WhitelistFilter.java",,,,7,24,15
File,"WhitelistFilterTest.java",,,,2,52,21
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.dariobalinzo",,,,37,638,66
Public Class,"com.github.dariobalinzo.ElasticIndexMonitorThreadTest",12,50,50,2,25,3
Public Method,"com.github.dariobalinzo.ElasticIndexMonitorThreadTest.init",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticIndexMonitorThreadTest.shouldRefreshIndexesList",,,,1,17,3
Public Class,"com.github.dariobalinzo.ElasticSourceConnector",25,81,76,19,117,17
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.config",,,,1,4,0
Private Method,"com.github.dariobalinzo.ElasticSourceConnector.findTaskFromIndexPrefix",,,,1,4,0
Private Method,"com.github.dariobalinzo.ElasticSourceConnector.generateTaskFromFixedList",,,,1,4,0
Private Method,"com.github.dariobalinzo.ElasticSourceConnector.groupIndicesToTasksConfig",,,,2,12,0
Private Method,"com.github.dariobalinzo.ElasticSourceConnector.groupPartitions",,,,3,10,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.start",,,,5,45,1
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.stop",,,,2,10,1
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskClass",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskConfigs",,,,2,10,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorConfig",7,0,0,6,362,0
Public Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Protected Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addConnectorOptions",,,,1,43,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addDatabaseOptions",,,,1,164,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addModeOptions",,,,1,44,0
Protected Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.baseConfigDef",,,,1,7,0
Public Class,"com.github.dariobalinzo.TestContainersContext",21,71,65,10,78,16
Protected Method,"com.github.dariobalinzo.TestContainersContext.deleteTestIndex",,,,2,6,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.getConf",,,,1,14,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.insertMockData",,,,1,3,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.insertMockData",,,,1,3,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.insertMockData",,,,1,15,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.refreshIndex",,,,1,3,0
Public Static Method,"com.github.dariobalinzo.TestContainersContext.setupElastic",,,,1,15,1
Public Static Method,"com.github.dariobalinzo.TestContainersContext.stopElastic",,,,2,6,0
Public Class,"com.github.dariobalinzo.Version",1,0,0,0,3,15
Package,"com.github.dariobalinzo.elastic",,,,80,559,88
Public Class,"com.github.dariobalinzo.elastic.ElasticConnection",26,76,75,17,99,15
Constructor,"com.github.dariobalinzo.elastic.ElasticConnection.ElasticConnection",,,,3,24,0
Public Method,"com.github.dariobalinzo.elastic.ElasticConnection.closeQuietly",,,,2,7,0
