Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AvroName.java",,,,6,16,15
File,"AvroNameTest.java",,,,1,15,18
File,"DocumentFilter.java",,,,0,5,0
File,"ElasticConnection.java",,,,12,71,15
File,"ElasticConnectionBuilder.java",,,,7,37,15
File,"ElasticRepository.java",,,,16,104,15
File,"ElasticRepositoryTest.java",,,,1,27,15
File,"ElasticSourceConnector.java",,,,12,99,16
File,"ElasticSourceConnectorConfig.java",,,,6,252,15
File,"ElasticSourceConnectorTest.java",,,,1,23,18
File,"ElasticSourceTask.java",,,,22,162,21
File,"ElasticSourceTaskConfig.java",,,,1,13,19
File,"ElasticSourceTaskTest.java",,,,5,99,27
File,"JsonCastFilter.java",,,,6,34,0
File,"JsonCastFilterTest.java",,,,1,37,18
File,"JsonElementFilter.java",,,,0,5,0
File,"JsonFilterVisitor.java",,,,11,42,0
File,"MockOffsetFactory.java",,,,6,34,15
File,"PageResult.java",,,,5,27,15
File,"SchemaConverter.java",,,,21,99,16
File,"SchemaConverterTest.java",,,,6,101,27
File,"StructConverter.java",,,,14,86,16
File,"TestContainersContext.java",,,,9,87,16
File,"Version.java",,,,0,4,15
File,"WhitelistFilter.java",,,,4,19,0
File,"WhitelistFilterTest.java",,,,1,32,19
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.dariobalinzo",,,,28,465,80
Public Class,"com.github.dariobalinzo.ElasticSourceConnector",21,74,74,12,83,16
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.config",,,,1,4,0
Private Method,"com.github.dariobalinzo.ElasticSourceConnector.groupPartitions",,,,3,10,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.start",,,,3,33,1
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.stop",,,,1,5,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskClass",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskConfigs",,,,2,16,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorConfig",7,0,0,6,244,0
Public Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Protected Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addConnectorOptions",,,,1,33,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addDatabaseOptions",,,,1,94,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addModeOptions",,,,1,34,0
Protected Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.baseConfigDef",,,,1,7,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorTest",4,0,0,1,16,3
Public Method,"com.github.dariobalinzo.ElasticSourceConnectorTest.shouldGetAListOfTasks",,,,1,14,3
Public Class,"com.github.dariobalinzo.TestContainersContext",21,61,57,9,68,16
Protected Method,"com.github.dariobalinzo.TestContainersContext.deleteTestIndex",,,,2,6,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.getConf",,,,1,14,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.insertMockData",,,,1,13,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.insertMockData",,,,1,3,0
Protected Method,"com.github.dariobalinzo.TestContainersContext.refreshIndex",,,,1,3,0
Public Static Method,"com.github.dariobalinzo.TestContainersContext.setupElastic",,,,1,12,1
Public Static Method,"com.github.dariobalinzo.TestContainersContext.stopElastic",,,,2,6,0
Public Class,"com.github.dariobalinzo.Version",1,0,0,0,3,15
Package,"com.github.dariobalinzo.elastic",,,,41,266,75
Public Class,"com.github.dariobalinzo.elastic.ElasticConnection",15,66,62,12,59,15
Constructor,"com.github.dariobalinzo.elastic.ElasticConnection.ElasticConnection",,,,2,14,0
Public Method,"com.github.dariobalinzo.elastic.ElasticConnection.closeQuietly",,,,2,7,0
Private Method,"com.github.dariobalinzo.elastic.ElasticConnection.createConnectionUsingAuth",,,,2,13,0
Lambda Method,"com.github.dariobalinzo.elastic.ElasticConnection.createConnectionUsingAuth.(lambda_expr_1)",,,,1,1,0
