Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteMojo.java",,,,39,211,19
File,"ArtifactResolver.java",,,,8,58,0
File,"BadSpacing.java",,,,0,3,0
File,"BasicIT.java",,,,1,19,0
File,"ConfigurableRewriteMojo.java",,,,12,92,7
File,"CycloneDxBomMojo.java",,,,3,44,5
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"MavenLoggingMeterRegistry.java",,,,44,183,16
File,"MavenMojoProjectParser.java",,,,27,201,9
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,104,2
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"RecipeDescriptorTree.java",,,,17,64,8
File,"RecipeDescriptorTreePrompter.java",,,,15,79,9
File,"ResourceParser.java",,,,12,71,0
File,"RewriteCycloneDxIT.java",,,,3,66,0
File,"RewriteDiscoverIT.java",,,,17,76,0
File,"RewriteDiscoverMojo.java",,,,20,106,21
File,"RewriteDryRunIT.java",,,,9,40,0
File,"RewriteDryRunMojo.java",,,,10,80,22
File,"RewriteRunIT.java",,,,6,33,0
File,"RewriteRunMojo.java",,,,13,94,21
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,245,1479,137
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",54,78,78,31,179,18
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer",5,33,33,8,30,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.ResultsContainer",,,,6,17,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getProjectRoot",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.isNotEmpty",,,,1,3,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,4,18,4
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext",,,,2,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext.(lambda_expr_1)",,,,1,4,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getBaseDir",,,,3,12,2
Private Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeClassloader",,,,4,20,1
Public Static Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor",,,,3,6,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.getRecipeDescriptor.(lambda_expr_2)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults",,,,13,69,10
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_1)",,,,1,3,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipesThatMadeChanges",,,,2,5,0
Public Class,"org.openrewrite.maven.ArtifactResolver",16,22,22,8,43,0
Public Constructor,"org.openrewrite.maven.ArtifactResolver.ArtifactResolver",,,,1,5,0
Public Method,"org.openrewrite.maven.ArtifactResolver.createArtifact",,,,2,7,0
Public Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies",,,,5,25,0
Lambda Method,"org.openrewrite.maven.ArtifactResolver.resolveArtifactsAndDependencies.(lambda_expr_1)",,,,1,1,0
Public Class,"org.openrewrite.maven.BasicIT",5,0,0,1,12,0
Method,"org.openrewrite.maven.BasicIT.groupid_artifactid_should_be_ok",,,,1,9,0
Public Abstract Class,"org.openrewrite.maven.ConfigurableRewriteMojo",9,87,87,12,83,7
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getActiveRecipes",,,,3,12,0
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getActiveStyles",,,,3,12,0
Protected Method,"org.openrewrite.maven.ConfigurableRewriteMojo.getRecipeArtifactCoordinates",,,,3,10,0
Private Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet",,,,3,6,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.ConfigurableRewriteMojo.toSet.(lambda_expr_2)",,,,1,1,0
Public Class,"org.openrewrite.maven.CycloneDxBomMojo",16,50,50,3,29,5
Private Method,"org.openrewrite.maven.CycloneDxBomMojo.buildCycloneDxBom",,,,2,14,2
Public Method,"org.openrewrite.maven.CycloneDxBomMojo.execute",,,,1,8,0
Public Class,"org.openrewrite.maven.MavenLoggingMeterRegistry",35,92,92,23,162,1
Public Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.MavenLoggingMeterRegistry",,,,1,4,0
Class,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer",10,62,37,12,37,1
Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.Printer",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.count",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableBaseUnit",,,,3,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableByteCount",,,,2,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id",,,,2,5,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id.(lambda_expr_1)",,,,1,1,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.time",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.unitlessCount",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.value",,,,1,3,0
Public Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close",,,,4,54,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_1)",,,,2,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2)",,,,10,44,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_10)",,,,1,5,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_11)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_3)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_4)",,,,1,4,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_5)",,,,1,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_6)",,,,1,7,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_7)",,,,1,6,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_8)",,,,1,4,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.close.(lambda_expr_2).(lambda_expr_9)",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.defaultHistogramConfig",,,,1,7,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.getBaseTimeUnit",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newCounter",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newDistributionSummary",,,,1,4,0
Protected Generic Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newFunctionCounter",,,,1,4,0
TypeVariable,"org.openrewrite.maven.MavenLoggingMeterRegistry.newFunctionCounter.T",0,0,0,0,0,0
Protected Generic Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newFunctionTimer",,,,1,4,0
TypeVariable,"org.openrewrite.maven.MavenLoggingMeterRegistry.newFunctionTimer.T",0,0,0,0,0,0
Protected Generic Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newGauge",,,,1,4,0
TypeVariable,"org.openrewrite.maven.MavenLoggingMeterRegistry.newGauge.T",0,0,0,0,0,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newLongTaskTimer",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newMeter",,,,1,4,0
Protected Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.newTimer",,,,1,4,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.writeMeter",,,,8,20,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.writeMeter.(lambda_expr_1)",,,,7,16,0
Public Class,"org.openrewrite.maven.MavenMojoProjectParser",43,40,40,27,168,8
Public Constructor,"org.openrewrite.maven.MavenMojoProjectParser.MavenMojoProjectParser",,,,3,27,0
Private Generic Method,"org.openrewrite.maven.MavenMojoProjectParser.addProvenance",,,,4,12,3
Lambda Method,"org.openrewrite.maven.MavenMojoProjectParser.addProvenance.(lambda_expr_1)",,,,3,9,3
TypeVariable,"org.openrewrite.maven.MavenMojoProjectParser.addProvenance.S",1,0,0,0,0,0
Public Static Method,"org.openrewrite.maven.MavenMojoProjectParser.listJavaSources",,,,4,14,0
Lambda Method,"org.openrewrite.maven.MavenMojoProjectParser.listJavaSources.(lambda_expr_1)",,,,1,1,0
Public Method,"org.openrewrite.maven.MavenMojoProjectParser.listSourceFiles",,,,1,47,3
Public Method,"org.openrewrite.maven.MavenMojoProjectParser.parseMaven",,,,15,62,2
