Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AspectJProxyDemo.java",,,,4,34,11
File,"BeforeAdviceDemo.java",,,,4,33,9
File,"CgLibProxyDemo.java",,,,8,57,10
File,"JdkProxyDemo.java",,,,10,64,9
Package,"com",,,,0,0,0
Package,"com.cl",,,,0,0,0
Package,"com.cl.roadshow",,,,0,0,0
Package,"com.cl.roadshow.spring",,,,0,0,0
Package,"com.cl.roadshow.spring.aop",,,,0,0,0
Package,"com.cl.roadshow.spring.aop.advice",,,,4,33,9
Public Class,"com.cl.roadshow.spring.aop.advice.BeforeAdviceDemo",5,0,0,1,10,5
Public Static Method,"com.cl.roadshow.spring.aop.advice.BeforeAdviceDemo.main",,,,1,7,0
Class,"com.cl.roadshow.spring.aop.advice.GreetingBeforeAdvice",5,0,0,1,5,4
Public Method,"com.cl.roadshow.spring.aop.advice.GreetingBeforeAdvice.before",,,,1,4,0
Class,"com.cl.roadshow.spring.aop.advice.NaiveWaiter",3,0,0,2,8,0
Public Method,"com.cl.roadshow.spring.aop.advice.NaiveWaiter.greeTo",,,,1,3,0
Public Method,"com.cl.roadshow.spring.aop.advice.NaiveWaiter.serveTo",,,,1,3,0
Interface,"com.cl.roadshow.spring.aop.advice.Waiter",1,0,0,0,4,0
Abstract Method,"com.cl.roadshow.spring.aop.advice.Waiter.greeTo",,,,0,1,0
Abstract Method,"com.cl.roadshow.spring.aop.advice.Waiter.serveTo",,,,0,1,0
Package,"com.cl.roadshow.spring.aop.aspectj",,,,4,34,11
Public Class,"com.cl.roadshow.spring.aop.aspectj.AspectJProxyDemo",5,0,0,1,10,7
Public Static Method,"com.cl.roadshow.spring.aop.aspectj.AspectJProxyDemo.main",,,,1,7,0
Class,"com.cl.roadshow.spring.aop.aspectj.NaiveWaiter",3,0,0,2,8,0
Public Method,"com.cl.roadshow.spring.aop.aspectj.NaiveWaiter.greeTo",,,,1,3,0
Public Method,"com.cl.roadshow.spring.aop.aspectj.NaiveWaiter.serveTo",,,,1,3,0
Class,"com.cl.roadshow.spring.aop.aspectj.PreGreetingAspect",4,0,0,1,6,4
Public Method,"com.cl.roadshow.spring.aop.aspectj.PreGreetingAspect.beforeGreeting",,,,1,4,0
Interface,"com.cl.roadshow.spring.aop.aspectj.Waiter",1,0,0,0,4,0
Abstract Method,"com.cl.roadshow.spring.aop.aspectj.Waiter.greeTo",,,,0,1,0
Abstract Method,"com.cl.roadshow.spring.aop.aspectj.Waiter.serveTo",,,,0,1,0
Package,"com.cl.roadshow.spring.aop.cglib",,,,8,57,10
Public Class,"com.cl.roadshow.spring.aop.cglib.CgLibProxyDemo",5,0,0,1,7,5
Public Static Method,"com.cl.roadshow.spring.aop.cglib.CgLibProxyDemo.main",,,,1,5,0
Class,"com.cl.roadshow.spring.aop.cglib.CglibProxy",6,50,50,2,14,2
Public Method,"com.cl.roadshow.spring.aop.cglib.CglibProxy.getProxy",,,,1,5,1
Public Method,"com.cl.roadshow.spring.aop.cglib.CglibProxy.intercept",,,,1,6,0
Class,"com.cl.roadshow.spring.aop.cglib.ForumServiceImpl",3,0,0,1,5,1
Public Method,"com.cl.roadshow.spring.aop.cglib.ForumServiceImpl.removeTopic",,,,1,3,1
Class,"com.cl.roadshow.spring.aop.cglib.MethodPerformance",3,16,16,2,12,0
Public Constructor,"com.cl.roadshow.spring.aop.cglib.MethodPerformance.MethodPerformance",,,,1,4,0
Public Method,"com.cl.roadshow.spring.aop.cglib.MethodPerformance.printPerformance",,,,1,5,0
Class,"com.cl.roadshow.spring.aop.cglib.PerformanceMonitor",5,0,0,2,13,0
Public Static Method,"com.cl.roadshow.spring.aop.cglib.PerformanceMonitor.begin",,,,1,5,0
Public Static Method,"com.cl.roadshow.spring.aop.cglib.PerformanceMonitor.end",,,,1,5,0
Package,"com.cl.roadshow.spring.aop.jdk",,,,10,64,9
Class,"com.cl.roadshow.spring.aop.jdk.AOPHandler",8,33,33,6,31,3
Public Constructor,"com.cl.roadshow.spring.aop.jdk.AOPHandler.AOPHandler",,,,1,3,0
Public Method,"com.cl.roadshow.spring.aop.jdk.AOPHandler.invoke",,,,2,15,3
Public Method,"com.cl.roadshow.spring.aop.jdk.AOPHandler.println",,,,3,10,0
Class,"com.cl.roadshow.spring.aop.jdk.BeanFactory",9,0,0,2,12,1
Public Static Method,"com.cl.roadshow.spring.aop.jdk.BeanFactory.getBean",,,,1,6,1
Public Static Generic Method,"com.cl.roadshow.spring.aop.jdk.BeanFactory.getBean",,,,1,5,0
TypeVariable,"com.cl.roadshow.spring.aop.jdk.BeanFactory.getBean.T",0,0,0,0,0,0
Class,"com.cl.roadshow.spring.aop.jdk.HelloImpl",3,0,0,1,6,0
Public Method,"com.cl.roadshow.spring.aop.jdk.HelloImpl.setInfo",,,,1,4,0
Interface,"com.cl.roadshow.spring.aop.jdk.HelloInterface",1,0,0,0,3,0
Public Abstract Method,"com.cl.roadshow.spring.aop.jdk.HelloInterface.setInfo",,,,0,1,0
Class,"com.cl.roadshow.spring.aop.jdk.JdkProxyDemo",5,0,0,1,6,5
Public Static Method,"com.cl.roadshow.spring.aop.jdk.JdkProxyDemo.main",,,,1,4,0
